Year,Units,응답자특성별,Value
2009,거주지역별,,14.8
2009,거주지역별,동,13.9
2009,거주지역별,읍면,15.7
2010,거주지역별,,9.85
2010,거주지역별,동,10.2
2010,거주지역별,읍면,9.5
2011,거주지역별,,10
2011,거주지역별,동,11
2011,거주지역별,읍면,9
2012,거주지역별,,13.15
2012,거주지역별,동,11.1
2012,거주지역별,읍면,15.2
2013,거주지역별,,7.7
2013,거주지역별,동,8.3
2013,거주지역별,읍면,7.1
2014,거주지역별,,8.2
2014,거주지역별,동,7.9
2014,거주지역별,읍면,8.5
2015,거주지역별,,8.55
2015,거주지역별,동,8.6
2015,거주지역별,읍면,8.5
2016,거주지역별,,13.6
2016,거주지역별,동,11.9
2016,거주지역별,읍면,15.3
2017,거주지역별,,13.9
2017,거주지역별,동,13.1
2017,거주지역별,읍면,14.7
2018,거주지역별,,12.75
2018,거주지역별,동,12.9
2018,거주지역별,읍면,12.6
2001,소득수준별,,18.46
2001,소득수준별,하,24.2
2001,소득수준별,중하,21.6
2001,소득수준별,중,16.5
2001,소득수준별,중상,16.8
2001,소득수준별,상,13.2
2005,소득수준별,,11.56
2005,소득수준별,하,14.1
2005,소득수준별,중하,12.8
2005,소득수준별,중,9.9
2005,소득수준별,중상,9.5
2005,소득수준별,상,11.5
2007,소득수준별,,17.04
2007,소득수준별,하,21
2007,소득수준별,중하,16.8
2007,소득수준별,중,15.2
2007,소득수준별,중상,19
2007,소득수준별,상,13.2
2008,소득수준별,,13.62
2008,소득수준별,하,17.9
2008,소득수준별,중하,15
2008,소득수준별,중,13.1
2008,소득수준별,중상,11.7
2008,소득수준별,상,10.4
2009,소득수준별,,14.16
2009,소득수준별,하,19.8
2009,소득수준별,중하,15.9
2009,소득수준별,중,13.4
2009,소득수준별,중상,11.7
2009,소득수준별,상,10
2010,소득수준별,,9.84
2010,소득수준별,하,14.2
2010,소득수준별,중하,11.4
2010,소득수준별,중,7.8
2010,소득수준별,중상,8
2010,소득수준별,상,7.8
2011,소득수준별,,10.4
2011,소득수준별,하,12.7
2011,소득수준별,중하,11.2
2011,소득수준별,중,10.3
2011,소득수준별,중상,8.5
2011,소득수준별,상,9.3
2012,소득수준별,,11.68
2012,소득수준별,하,17.4
2012,소득수준별,중하,10.9
2012,소득수준별,중,13.2
2012,소득수준별,중상,9.1
2012,소득수준별,상,7.8
2013,소득수준별,,8.04
2013,소득수준별,하,11.8
2013,소득수준별,중하,7.3
2013,소득수준별,중,7.6
2013,소득수준별,중상,7.2
2013,소득수준별,상,6.3
2014,소득수준별,,7.92
2014,소득수준별,하,11.7
2014,소득수준별,중하,8.7
2014,소득수준별,중,5.7
2014,소득수준별,중상,7.9
2014,소득수준별,상,5.6
2015,소득수준별,,8.42
2015,소득수준별,하,14.3
2015,소득수준별,중하,9.4
2015,소득수준별,중,6.1
2015,소득수준별,중상,7.2
2015,소득수준별,상,5.1
2016,소득수준별,,12.32
2016,소득수준별,하,16.2
2016,소득수준별,중하,12.3
2016,소득수준별,중,12.7
2016,소득수준별,중상,10
2016,소득수준별,상,10.4
2017,소득수준별,,13.24
2017,소득수준별,하,19.1
2017,소득수준별,중하,13.5
2017,소득수준별,중,12
2017,소득수준별,중상,12.8
2017,소득수준별,상,8.8
2018,소득수준별,,12.76
2018,소득수준별,하,16.3
2018,소득수준별,중하,12.4
2018,소득수준별,중,13.7
2018,소득수준별,중상,10.9
2018,소득수준별,상,10.5
