Year,Units,Type of product,Value
2016,Tonnes per capita,GAS,0.69059
2016,Tonnes per capita,GBO,0.30726
2016,Tonnes per capita,MEO,1.60055
2016,Tonnes per capita,NFO,1.36565
2016,Tonnes per capita,NMA,0.24047
2016,Tonnes per capita,NMC,2.23615
2016,Tonnes per capita,NMM,2.26275
2016,Tonnes per capita,PET,2.30027
2016,Tonnes per capita,RAW,11.18899
2016,Tonnes per capita,WCH,0.04502
2016,Tonnes per capita,WOD,0.15082
2017,Tonnes per capita,BIM,1.5251
2017,Tonnes per capita,COL,2.90144
2017,Tonnes per capita,CPR,0.10837
2017,Tonnes per capita,CRO,0.91155
2017,Tonnes per capita,FEO,1.38437
2017,Tonnes per capita,FOF,5.92303
2017,Tonnes per capita,GAS,0.72011
2017,Tonnes per capita,GBO,0.30983
2017,Tonnes per capita,MEO,1.62523
2017,Tonnes per capita,NFO,1.38437
2017,Tonnes per capita,NMA,0.24025
2017,Tonnes per capita,NMC,2.2228
2017,Tonnes per capita,NMM,2.24298
2017,Tonnes per capita,PET,2.30149
2017,Tonnes per capita,RAW,11.31634
2017,Tonnes per capita,WCH,0.04461
2017,Tonnes per capita,WOD,0.15074
2000,Kilograms per constant 2010 USD,BIM,0.1103
2000,Kilograms per constant 2010 USD,COL,0.10309
2000,Kilograms per constant 2010 USD,CPR,0.01018
2000,Kilograms per constant 2010 USD,CRO,0.06129
2000,Kilograms per constant 2010 USD,FEO,0.06176
2000,Kilograms per constant 2010 USD,FOF,0.27412
2000,Kilograms per constant 2010 USD,GAS,0.02056
2000,Kilograms per constant 2010 USD,GBO,0.02313
2000,Kilograms per constant 2010 USD,MEO,0.07101
2000,Kilograms per constant 2010 USD,NFO,0.06176
2000,Kilograms per constant 2010 USD,NMA,0.01668
2000,Kilograms per constant 2010 USD,NMC,0.59108
2000,Kilograms per constant 2010 USD,NMM,0.59538
2000,Kilograms per constant 2010 USD,PET,0.15048
2000,Kilograms per constant 2010 USD,RAW,1.05081
2000,Kilograms per constant 2010 USD,WCH,0.00289
2000,Kilograms per constant 2010 USD,WOD,0.01062
2001,Kilograms per constant 2010 USD,BIM,0.10413
2001,Kilograms per constant 2010 USD,COL,0.09973
2001,Kilograms per constant 2010 USD,CPR,0.01002
2001,Kilograms per constant 2010 USD,CRO,0.06072
2001,Kilograms per constant 2010 USD,FEO,0.06595
2001,Kilograms per constant 2010 USD,FOF,0.26089
2001,Kilograms per constant 2010 USD,GAS,0.02179
2001,Kilograms per constant 2010 USD,GBO,0.01824
2001,Kilograms per constant 2010 USD,MEO,0.07475
2001,Kilograms per constant 2010 USD,NFO,0.06595
2001,Kilograms per constant 2010 USD,NMA,0.01484
2001,Kilograms per constant 2010 USD,NMC,0.59529
2001,Kilograms per constant 2010 USD,NMM,0.60228
2001,Kilograms per constant 2010 USD,PET,0.13938
2001,Kilograms per constant 2010 USD,RAW,1.04205
2001,Kilograms per constant 2010 USD,WCH,0.00355
2001,Kilograms per constant 2010 USD,WOD,0.01074
2002,Kilograms per constant 2010 USD,BIM,0.09404
2002,Kilograms per constant 2010 USD,COL,0.09446
2002,Kilograms per constant 2010 USD,CPR,0.00862
2002,Kilograms per constant 2010 USD,CRO,0.05732
2002,Kilograms per constant 2010 USD,FEO,0.0641
2002,Kilograms per constant 2010 USD,FOF,0.2467
2002,Kilograms per constant 2010 USD,GAS,0.02237
2002,Kilograms per constant 2010 USD,GBO,0.01626
2002,Kilograms per constant 2010 USD,MEO,0.07262
2002,Kilograms per constant 2010 USD,NFO,0.0641
2002,Kilograms per constant 2010 USD,NMA,0.01591
2002,Kilograms per constant 2010 USD,NMC,0.56311
2002,Kilograms per constant 2010 USD,NMM,0.57456
2002,Kilograms per constant 2010 USD,PET,0.12987
2002,Kilograms per constant 2010 USD,RAW,0.98792
2002,Kilograms per constant 2010 USD,WCH,0.00309
2002,Kilograms per constant 2010 USD,WOD,0.01031
2003,Kilograms per constant 2010 USD,BIM,0.08622
2003,Kilograms per constant 2010 USD,COL,0.09398
2003,Kilograms per constant 2010 USD,CPR,0.00743
2003,Kilograms per constant 2010 USD,CRO,0.05416
2003,Kilograms per constant 2010 USD,FEO,0.06077
2003,Kilograms per constant 2010 USD,FOF,0.24602
2003,Kilograms per constant 2010 USD,GAS,0.02369
2003,Kilograms per constant 2010 USD,GBO,0.01436
2003,Kilograms per constant 2010 USD,MEO,0.06929
2003,Kilograms per constant 2010 USD,NFO,0.06077
2003,Kilograms per constant 2010 USD,NMA,0.01451
2003,Kilograms per constant 2010 USD,NMC,0.60097
2003,Kilograms per constant 2010 USD,NMM,0.61159
2003,Kilograms per constant 2010 USD,PET,0.12835
2003,Kilograms per constant 2010 USD,RAW,1.01311
2003,Kilograms per constant 2010 USD,WCH,0.00303
2003,Kilograms per constant 2010 USD,WOD,0.00867
2004,Kilograms per constant 2010 USD,BIM,0.08521
2004,Kilograms per constant 2010 USD,COL,0.09623
2004,Kilograms per constant 2010 USD,CPR,0.00805
2004,Kilograms per constant 2010 USD,CRO,0.05028
2004,Kilograms per constant 2010 USD,FEO,0.06151
2004,Kilograms per constant 2010 USD,FOF,0.2435
2004,Kilograms per constant 2010 USD,GAS,0.02574
2004,Kilograms per constant 2010 USD,GBO,0.0135
2004,Kilograms per constant 2010 USD,MEO,0.06978
2004,Kilograms per constant 2010 USD,NFO,0.06151
2004,Kilograms per constant 2010 USD,NMA,0.01364
2004,Kilograms per constant 2010 USD,NMC,0.54709
2004,Kilograms per constant 2010 USD,NMM,0.55583
2004,Kilograms per constant 2010 USD,PET,0.12153
2004,Kilograms per constant 2010 USD,RAW,0.95432
2004,Kilograms per constant 2010 USD,WCH,0.00288
2004,Kilograms per constant 2010 USD,WOD,0.00883
2005,Kilograms per constant 2010 USD,BIM,0.08154
2005,Kilograms per constant 2010 USD,COL,0.08934
2005,Kilograms per constant 2010 USD,CPR,0.00765
2005,Kilograms per constant 2010 USD,CRO,0.04999
2005,Kilograms per constant 2010 USD,FEO,0.05648
2005,Kilograms per constant 2010 USD,FOF,0.22657
2005,Kilograms per constant 2010 USD,GAS,0.02537
2005,Kilograms per constant 2010 USD,GBO,0.01347
2005,Kilograms per constant 2010 USD,MEO,0.06433
2005,Kilograms per constant 2010 USD,NFO,0.05648
2005,Kilograms per constant 2010 USD,NMA,0.01367
2005,Kilograms per constant 2010 USD,NMC,0.46007
2005,Kilograms per constant 2010 USD,NMM,0.46693
2005,Kilograms per constant 2010 USD,PET,0.11187
2005,Kilograms per constant 2010 USD,RAW,0.83937
2005,Kilograms per constant 2010 USD,WCH,0.00282
2005,Kilograms per constant 2010 USD,WOD,0.00811
2006,Kilograms per constant 2010 USD,BIM,0.0774
2006,Kilograms per constant 2010 USD,COL,0.08804
2006,Kilograms per constant 2010 USD,CPR,0.00683
2006,Kilograms per constant 2010 USD,CRO,0.04705
2006,Kilograms per constant 2010 USD,FEO,0.05287
2006,Kilograms per constant 2010 USD,FOF,0.22524
2006,Kilograms per constant 2010 USD,GAS,0.0272
2006,Kilograms per constant 2010 USD,GBO,0.0129
2006,Kilograms per constant 2010 USD,MEO,0.06068
2006,Kilograms per constant 2010 USD,NFO,0.05287
2006,Kilograms per constant 2010 USD,NMA,0.01262
2006,Kilograms per constant 2010 USD,NMC,0.43491
2006,Kilograms per constant 2010 USD,NMM,0.44083
2006,Kilograms per constant 2010 USD,PET,0.11001
2006,Kilograms per constant 2010 USD,RAW,0.80416
2006,Kilograms per constant 2010 USD,WCH,0.00298
2006,Kilograms per constant 2010 USD,WOD,0.00783
2007,Kilograms per constant 2010 USD,BIM,0.07394
2007,Kilograms per constant 2010 USD,COL,0.09242
2007,Kilograms per constant 2010 USD,CPR,0.00621
2007,Kilograms per constant 2010 USD,CRO,0.04443
2007,Kilograms per constant 2010 USD,FEO,0.05716
2007,Kilograms per constant 2010 USD,FOF,0.2226
2007,Kilograms per constant 2010 USD,GAS,0.02604
2007,Kilograms per constant 2010 USD,GBO,0.01319
2007,Kilograms per constant 2010 USD,MEO,0.06437
2007,Kilograms per constant 2010 USD,NFO,0.05716
2007,Kilograms per constant 2010 USD,NMA,0.01386
2007,Kilograms per constant 2010 USD,NMC,0.43191
2007,Kilograms per constant 2010 USD,NMM,0.43923
2007,Kilograms per constant 2010 USD,PET,0.10414
2007,Kilograms per constant 2010 USD,RAW,0.80013
2007,Kilograms per constant 2010 USD,WCH,0.0028
2007,Kilograms per constant 2010 USD,WOD,0.00775
2008,Kilograms per constant 2010 USD,BIM,0.07675
2008,Kilograms per constant 2010 USD,COL,0.10099
2008,Kilograms per constant 2010 USD,CPR,0.00679
2008,Kilograms per constant 2010 USD,CRO,0.04278
2008,Kilograms per constant 2010 USD,FEO,0.06009
2008,Kilograms per constant 2010 USD,FOF,0.22493
2008,Kilograms per constant 2010 USD,GAS,0.0281
2008,Kilograms per constant 2010 USD,GBO,0.01386
2008,Kilograms per constant 2010 USD,MEO,0.06793
2008,Kilograms per constant 2010 USD,NFO,0.06009
2008,Kilograms per constant 2010 USD,NMA,0.01386
2008,Kilograms per constant 2010 USD,NMC,0.4058
2008,Kilograms per constant 2010 USD,NMM,0.41319
2008,Kilograms per constant 2010 USD,PET,0.09584
2008,Kilograms per constant 2010 USD,RAW,0.78279
2008,Kilograms per constant 2010 USD,WCH,0.00248
2008,Kilograms per constant 2010 USD,WOD,0.00833
2009,Kilograms per constant 2010 USD,BIM,0.07503
2009,Kilograms per constant 2010 USD,COL,0.1029
2009,Kilograms per constant 2010 USD,CPR,0.00677
2009,Kilograms per constant 2010 USD,CRO,0.04497
2009,Kilograms per constant 2010 USD,FEO,0.04565
2009,Kilograms per constant 2010 USD,FOF,0.22808
2009,Kilograms per constant 2010 USD,GAS,0.0255
2009,Kilograms per constant 2010 USD,GBO,0.01516
2009,Kilograms per constant 2010 USD,MEO,0.05366
2009,Kilograms per constant 2010 USD,NFO,0.04565
2009,Kilograms per constant 2010 USD,NMA,0.01053
2009,Kilograms per constant 2010 USD,NMC,0.40204
2009,Kilograms per constant 2010 USD,NMM,0.4078
2009,Kilograms per constant 2010 USD,PET,0.09968
2009,Kilograms per constant 2010 USD,RAW,0.76457
2009,Kilograms per constant 2010 USD,WCH,0.00236
2009,Kilograms per constant 2010 USD,WOD,0.00732
2010,Kilograms per constant 2010 USD,BIM,0.06848
2010,Kilograms per constant 2010 USD,COL,0.11083
2010,Kilograms per constant 2010 USD,CPR,0.00539
2010,Kilograms per constant 2010 USD,CRO,0.04077
2010,Kilograms per constant 2010 USD,FEO,0.05594
2010,Kilograms per constant 2010 USD,FOF,0.23886
2010,Kilograms per constant 2010 USD,GAS,0.03107
2010,Kilograms per constant 2010 USD,GBO,0.01277
2010,Kilograms per constant 2010 USD,MEO,0.06428
2010,Kilograms per constant 2010 USD,NFO,0.05594
2010,Kilograms per constant 2010 USD,NMA,0.01061
2010,Kilograms per constant 2010 USD,NMC,0.34395
2010,Kilograms per constant 2010 USD,NMM,0.34747
2010,Kilograms per constant 2010 USD,PET,0.09697
2010,Kilograms per constant 2010 USD,RAW,0.71909
2010,Kilograms per constant 2010 USD,WCH,0.00204
2010,Kilograms per constant 2010 USD,WOD,0.00827
2011,Kilograms per constant 2010 USD,BIM,0.06752
2011,Kilograms per constant 2010 USD,COL,0.116
2011,Kilograms per constant 2010 USD,CPR,0.00504
2011,Kilograms per constant 2010 USD,CRO,0.03859
2011,Kilograms per constant 2010 USD,FEO,0.05487
2011,Kilograms per constant 2010 USD,FOF,0.23907
2011,Kilograms per constant 2010 USD,GAS,0.03187
2011,Kilograms per constant 2010 USD,GBO,0.01334
2011,Kilograms per constant 2010 USD,MEO,0.06322
2011,Kilograms per constant 2010 USD,NFO,0.05487
2011,Kilograms per constant 2010 USD,NMA,0.01014
2011,Kilograms per constant 2010 USD,NMC,0.32291
2011,Kilograms per constant 2010 USD,NMM,0.32386
2011,Kilograms per constant 2010 USD,PET,0.09119
2011,Kilograms per constant 2010 USD,RAW,0.69367
2011,Kilograms per constant 2010 USD,WCH,0.00219
2011,Kilograms per constant 2010 USD,WOD,0.00793
2012,Kilograms per constant 2010 USD,BIM,0.06695
2012,Kilograms per constant 2010 USD,COL,0.10917
2012,Kilograms per constant 2010 USD,CPR,0.00484
2012,Kilograms per constant 2010 USD,CRO,0.03816
2012,Kilograms per constant 2010 USD,FEO,0.05226
2012,Kilograms per constant 2010 USD,FOF,0.23336
2012,Kilograms per constant 2010 USD,GAS,0.03185
2012,Kilograms per constant 2010 USD,GBO,0.01415
2012,Kilograms per constant 2010 USD,MEO,0.06093
2012,Kilograms per constant 2010 USD,NFO,0.05226
2012,Kilograms per constant 2010 USD,NMA,0.00982
2012,Kilograms per constant 2010 USD,NMC,0.14272
2012,Kilograms per constant 2010 USD,NMM,0.14445
2012,Kilograms per constant 2010 USD,PET,0.09234
2012,Kilograms per constant 2010 USD,RAW,0.50569
2012,Kilograms per constant 2010 USD,WCH,0.00195
2012,Kilograms per constant 2010 USD,WOD,0.00711
2013,Kilograms per constant 2010 USD,BIM,0.06502
2013,Kilograms per constant 2010 USD,COL,0.10774
2013,Kilograms per constant 2010 USD,CPR,0.00493
2013,Kilograms per constant 2010 USD,CRO,0.0378
2013,Kilograms per constant 2010 USD,FEO,0.04823
2013,Kilograms per constant 2010 USD,FOF,0.2314
2013,Kilograms per constant 2010 USD,GAS,0.03441
2013,Kilograms per constant 2010 USD,GBO,0.01326
2013,Kilograms per constant 2010 USD,MEO,0.05735
2013,Kilograms per constant 2010 USD,NFO,0.04823
2013,Kilograms per constant 2010 USD,NMA,0.01029
2013,Kilograms per constant 2010 USD,NMC,0.13085
2013,Kilograms per constant 2010 USD,NMM,0.13297
2013,Kilograms per constant 2010 USD,PET,0.08925
2013,Kilograms per constant 2010 USD,RAW,0.48674
2013,Kilograms per constant 2010 USD,WCH,0.00178
2013,Kilograms per constant 2010 USD,WOD,0.00635
2014,Kilograms per constant 2010 USD,BIM,0.06253
2014,Kilograms per constant 2010 USD,COL,0.1079
2014,Kilograms per constant 2010 USD,CPR,0.00473
2014,Kilograms per constant 2010 USD,CRO,0.03744
2014,Kilograms per constant 2010 USD,FEO,0.05423
2014,Kilograms per constant 2010 USD,FOF,0.22515
2014,Kilograms per constant 2010 USD,GAS,0.03069
2014,Kilograms per constant 2010 USD,GBO,0.01234
2014,Kilograms per constant 2010 USD,MEO,0.06333
2014,Kilograms per constant 2010 USD,NFO,0.05423
2014,Kilograms per constant 2010 USD,NMA,0.00984
2014,Kilograms per constant 2010 USD,NMC,0.12513
2014,Kilograms per constant 2010 USD,NMM,0.12675
2014,Kilograms per constant 2010 USD,PET,0.08656
2014,Kilograms per constant 2010 USD,RAW,0.47776
2014,Kilograms per constant 2010 USD,WCH,0.00187
2014,Kilograms per constant 2010 USD,WOD,0.00609
2015,Kilograms per constant 2010 USD,BIM,0.06103
2015,Kilograms per constant 2010 USD,COL,0.10816
2015,Kilograms per constant 2010 USD,CPR,0.00452
2015,Kilograms per constant 2010 USD,CRO,0.03649
2015,Kilograms per constant 2010 USD,FEO,0.05371
2015,Kilograms per constant 2010 USD,FOF,0.22621
2015,Kilograms per constant 2010 USD,GAS,0.02636
2015,Kilograms per constant 2010 USD,GBO,0.01215
2015,Kilograms per constant 2010 USD,MEO,0.06284
2015,Kilograms per constant 2010 USD,NFO,0.05371
2015,Kilograms per constant 2010 USD,NMA,0.0096
2015,Kilograms per constant 2010 USD,NMC,0.10563
2015,Kilograms per constant 2010 USD,NMM,0.10694
2015,Kilograms per constant 2010 USD,PET,0.09169
2015,Kilograms per constant 2010 USD,RAW,0.45703
2015,Kilograms per constant 2010 USD,WCH,0.00181
2015,Kilograms per constant 2010 USD,WOD,0.00602
2016,Kilograms per constant 2010 USD,BIM,0.05942
2016,Kilograms per constant 2010 USD,COL,0.10918
2016,Kilograms per constant 2010 USD,CPR,0.00431
2016,Kilograms per constant 2010 USD,CRO,0.03549
2016,Kilograms per constant 2010 USD,FEO,0.05311
2016,Kilograms per constant 2010 USD,FOF,0.2255
2016,Kilograms per constant 2010 USD,GAS,0.02686
2016,Kilograms per constant 2010 USD,GBO,0.01195
2016,Kilograms per constant 2010 USD,MEO,0.06225
