Year,서비스유형별,동･읍면부별,성별,가구소득별,Value
2019,세무 서비스,,,500~600만원 미만,66.0
2016,세무 서비스,,,600만원 이상,59.8
2017,세무 서비스,,,600만원 이상,71.0
2018,세무 서비스,,,600만원 이상,74.0
2019,세무 서비스,,,600만원 이상,68.4
2016,경찰 서비스,,,,47.5
2017,경찰 서비스,,,,58.9
2018,경찰 서비스,,,,55.9
2019,경찰 서비스,,,,53.8
2016,경찰 서비스,도시(동부),,,45.7
2017,경찰 서비스,도시(동부),,,58.8
2018,경찰 서비스,도시(동부),,,55.7
2019,경찰 서비스,도시(동부),,,52.4
2016,경찰 서비스,농어촌(읍면부),,,56.6
2017,경찰 서비스,농어촌(읍면부),,,59.2
2018,경찰 서비스,농어촌(읍면부),,,57.0
2019,경찰 서비스,농어촌(읍면부),,,61.5
2016,경찰 서비스,,남자,,46.2
2017,경찰 서비스,,남자,,58.5
2018,경찰 서비스,,남자,,54.8
2019,경찰 서비스,,남자,,51.8
2016,경찰 서비스,,여자,,49.2
2017,경찰 서비스,,여자,,59.4
2018,경찰 서비스,,여자,,58.2
2019,경찰 서비스,,여자,,57.8
2016,경찰 서비스,,,100만원 미만,31.1
2017,경찰 서비스,,,100만원 미만,47.7
2018,경찰 서비스,,,100만원 미만,73.5
2019,경찰 서비스,,,100만원 미만,47.7
2016,경찰 서비스,,,100~200만원 미만,37.0
2017,경찰 서비스,,,100~200만원 미만,58.3
2018,경찰 서비스,,,100~200만원 미만,54.4
2019,경찰 서비스,,,100~200만원 미만,57.1
2016,경찰 서비스,,,200~300만원 미만,52.3
2017,경찰 서비스,,,200~300만원 미만,57.2
2018,경찰 서비스,,,200~300만원 미만,55.2
2019,경찰 서비스,,,200~300만원 미만,47.2
2016,경찰 서비스,,,300~400만원 미만,40.1
2017,경찰 서비스,,,300~400만원 미만,53.9
2018,경찰 서비스,,,300~400만원 미만,48.5
2019,경찰 서비스,,,300~400만원 미만,57.0
2016,경찰 서비스,,,400~500만원 미만,44.9
2017,경찰 서비스,,,400~500만원 미만,62.9
2018,경찰 서비스,,,400~500만원 미만,46.6
2019,경찰 서비스,,,400~500만원 미만,62.1
2016,경찰 서비스,,,500~600만원 미만,58.3
2017,경찰 서비스,,,500~600만원 미만,64.8
2018,경찰 서비스,,,500~600만원 미만,63.5
2019,경찰 서비스,,,500~600만원 미만,58.5
2016,경찰 서비스,,,600만원 이상,56.0
2017,경찰 서비스,,,600만원 이상,59.9
2018,경찰 서비스,,,600만원 이상,61.5
2019,경찰 서비스,,,600만원 이상,49.3
2017,소방 서비스,,,,65.4
2018,소방 서비스,,,,84.9
2019,소방 서비스,,,,66.6
2017,소방 서비스,도시(동부),,,67.2
2018,소방 서비스,도시(동부),,,85.1
2019,소방 서비스,도시(동부),,,62.5
2017,소방 서비스,농어촌(읍면부),,,57.2
2018,소방 서비스,농어촌(읍면부),,,84.3
2019,소방 서비스,농어촌(읍면부),,,77.3
2017,소방 서비스,,남자,,64.4
2018,소방 서비스,,남자,,87.3
2019,소방 서비스,,남자,,76.4
2017,소방 서비스,,여자,,67.0
