Year,Units,data.Type_of_product,Value
2004,GDP당 국내물질소비량(kg/USD),나무,0.00883
2005,GDP당 국내물질소비량(kg/USD),바이오매스,0.08154
2005,GDP당 국내물질소비량(kg/USD),석탄,0.08934
2005,GDP당 국내물질소비량(kg/USD),작물잔해,0.00765
2005,GDP당 국내물질소비량(kg/USD),작물,0.04999
2005,GDP당 국내물질소비량(kg/USD),철광석,0.05648
2005,GDP당 국내물질소비량(kg/USD),화석연료,0.22657
2005,GDP당 국내물질소비량(kg/USD),천연가스,0.02537
2005,GDP당 국내물질소비량(kg/USD),사료작물,0.01347
2005,GDP당 국내물질소비량(kg/USD),금속광석,0.06433
2005,GDP당 국내물질소비량(kg/USD),비금속광석,0.05648
2005,GDP당 국내물질소비량(kg/USD),산업/농업 비금속광물,0.01367
2005,GDP당 국내물질소비량(kg/USD),건설 비금속광물,0.46007
2005,GDP당 국내물질소비량(kg/USD),비급속광물,0.46693
2005,GDP당 국내물질소비량(kg/USD),석유,0.11187
2005,GDP당 국내물질소비량(kg/USD),RAW,0.83937
2005,GDP당 국내물질소비량(kg/USD),자연수확,0.00282
2005,GDP당 국내물질소비량(kg/USD),나무,0.00811
2006,GDP당 국내물질소비량(kg/USD),바이오매스,0.0774
2006,GDP당 국내물질소비량(kg/USD),석탄,0.08804
2006,GDP당 국내물질소비량(kg/USD),작물잔해,0.00683
2006,GDP당 국내물질소비량(kg/USD),작물,0.04705
2006,GDP당 국내물질소비량(kg/USD),철광석,0.05287
2006,GDP당 국내물질소비량(kg/USD),화석연료,0.22524
2006,GDP당 국내물질소비량(kg/USD),천연가스,0.0272
2006,GDP당 국내물질소비량(kg/USD),사료작물,0.0129
2006,GDP당 국내물질소비량(kg/USD),금속광석,0.06068
2006,GDP당 국내물질소비량(kg/USD),비금속광석,0.05287
2006,GDP당 국내물질소비량(kg/USD),산업/농업 비금속광물,0.01262
2006,GDP당 국내물질소비량(kg/USD),건설 비금속광물,0.43491
2006,GDP당 국내물질소비량(kg/USD),비급속광물,0.44083
2006,GDP당 국내물질소비량(kg/USD),석유,0.11001
2006,GDP당 국내물질소비량(kg/USD),RAW,0.80416
2006,GDP당 국내물질소비량(kg/USD),자연수확,0.00298
2006,GDP당 국내물질소비량(kg/USD),나무,0.00783
2007,GDP당 국내물질소비량(kg/USD),바이오매스,0.07394
2007,GDP당 국내물질소비량(kg/USD),석탄,0.09242
2007,GDP당 국내물질소비량(kg/USD),작물잔해,0.00621
2007,GDP당 국내물질소비량(kg/USD),작물,0.04443
2007,GDP당 국내물질소비량(kg/USD),철광석,0.05716
2007,GDP당 국내물질소비량(kg/USD),화석연료,0.2226
2007,GDP당 국내물질소비량(kg/USD),천연가스,0.02604
2007,GDP당 국내물질소비량(kg/USD),사료작물,0.01319
