Year,Units,data.Type_of_product,Value
2014,data.Tonnes_per_capita,data.WOD,0.14922
2015,data.Tonnes_per_capita,data.BIM,1.5306
2015,data.Tonnes_per_capita,data.COL,2.71253
2015,data.Tonnes_per_capita,data.CPR,0.11333
2015,data.Tonnes_per_capita,data.CRO,0.915
2015,data.Tonnes_per_capita,data.FEO,1.347
2015,data.Tonnes_per_capita,data.FOF,5.67288
2015,data.Tonnes_per_capita,data.GAS,0.66095
2015,data.Tonnes_per_capita,data.GBO,0.30472
2015,data.Tonnes_per_capita,data.MEO,1.57592
2015,data.Tonnes_per_capita,data.NFO,1.347
2015,data.Tonnes_per_capita,data.NMA,0.24073
2015,data.Tonnes_per_capita,data.NMC,2.64887
2015,data.Tonnes_per_capita,data.NMM,2.68194
2015,data.Tonnes_per_capita,data.PET,2.2994
2015,data.Tonnes_per_capita,data.RAW,11.46134
2015,data.Tonnes_per_capita,data.WCH,0.04544
2015,data.Tonnes_per_capita,data.WOD,0.15093
2016,data.Tonnes_per_capita,data.BIM,1.52772
2016,data.Tonnes_per_capita,data.COL,2.80713
2016,data.Tonnes_per_capita,data.CPR,0.11083
2016,data.Tonnes_per_capita,data.CRO,0.91261
2016,data.Tonnes_per_capita,data.FEO,1.36565
2016,data.Tonnes_per_capita,data.FOF,5.79798
2016,data.Tonnes_per_capita,data.GAS,0.69059
2016,data.Tonnes_per_capita,data.GBO,0.30726
2016,data.Tonnes_per_capita,data.MEO,1.60055
2016,data.Tonnes_per_capita,data.NFO,1.36565
2016,data.Tonnes_per_capita,data.NMA,0.24047
2016,data.Tonnes_per_capita,data.NMC,2.23615
2016,data.Tonnes_per_capita,data.NMM,2.26275
2016,data.Tonnes_per_capita,data.PET,2.30027
2016,data.Tonnes_per_capita,data.RAW,11.18899
2016,data.Tonnes_per_capita,data.WCH,0.04502
2016,data.Tonnes_per_capita,data.WOD,0.15082
2017,data.Tonnes_per_capita,data.BIM,1.5251
2017,data.Tonnes_per_capita,data.COL,2.90144
2017,data.Tonnes_per_capita,data.CPR,0.10837
2017,data.Tonnes_per_capita,data.CRO,0.91155
2017,data.Tonnes_per_capita,data.FEO,1.38437
2017,data.Tonnes_per_capita,data.FOF,5.92303
2017,data.Tonnes_per_capita,data.GAS,0.72011
2017,data.Tonnes_per_capita,data.GBO,0.30983
2017,data.Tonnes_per_capita,data.MEO,1.62523
2017,data.Tonnes_per_capita,data.NFO,1.38437
2017,data.Tonnes_per_capita,data.NMA,0.24025
2017,data.Tonnes_per_capita,data.NMC,2.2228
2017,data.Tonnes_per_capita,data.NMM,2.24298
2017,data.Tonnes_per_capita,data.PET,2.30149
2017,data.Tonnes_per_capita,data.RAW,11.31634
2017,data.Tonnes_per_capita,data.WCH,0.04461
2017,data.Tonnes_per_capita,data.WOD,0.15074
2000,data.Kilograms_per_constant_2010_USD,data.BIM,0.1103
2000,data.Kilograms_per_constant_2010_USD,data.COL,0.10309
2000,data.Kilograms_per_constant_2010_USD,data.CPR,0.01018
2000,data.Kilograms_per_constant_2010_USD,data.CRO,0.06129
2000,data.Kilograms_per_constant_2010_USD,data.FEO,0.06176
2000,data.Kilograms_per_constant_2010_USD,data.FOF,0.27412
2000,data.Kilograms_per_constant_2010_USD,data.GAS,0.02056
2000,data.Kilograms_per_constant_2010_USD,data.GBO,0.02313
2000,data.Kilograms_per_constant_2010_USD,data.MEO,0.07101
2000,data.Kilograms_per_constant_2010_USD,data.NFO,0.06176
2000,data.Kilograms_per_constant_2010_USD,data.NMA,0.01668
2000,data.Kilograms_per_constant_2010_USD,data.NMC,0.59108
2000,data.Kilograms_per_constant_2010_USD,data.NMM,0.59538
2000,data.Kilograms_per_constant_2010_USD,data.PET,0.15048
2000,data.Kilograms_per_constant_2010_USD,data.RAW,1.05081
2000,data.Kilograms_per_constant_2010_USD,data.WCH,0.00289
2000,data.Kilograms_per_constant_2010_USD,data.WOD,0.01062
2001,data.Kilograms_per_constant_2010_USD,data.BIM,0.10413
2001,data.Kilograms_per_constant_2010_USD,data.COL,0.09973
2001,data.Kilograms_per_constant_2010_USD,data.CPR,0.01002
2001,data.Kilograms_per_constant_2010_USD,data.CRO,0.06072
2001,data.Kilograms_per_constant_2010_USD,data.FEO,0.06595
2001,data.Kilograms_per_constant_2010_USD,data.FOF,0.26089
2001,data.Kilograms_per_constant_2010_USD,data.GAS,0.02179
2001,data.Kilograms_per_constant_2010_USD,data.GBO,0.01824
2001,data.Kilograms_per_constant_2010_USD,data.MEO,0.07475
2001,data.Kilograms_per_constant_2010_USD,data.NFO,0.06595
2001,data.Kilograms_per_constant_2010_USD,data.NMA,0.01484
2001,data.Kilograms_per_constant_2010_USD,data.NMC,0.59529
2001,data.Kilograms_per_constant_2010_USD,data.NMM,0.60228
2001,data.Kilograms_per_constant_2010_USD,data.PET,0.13938
2001,data.Kilograms_per_constant_2010_USD,data.RAW,1.04205
2001,data.Kilograms_per_constant_2010_USD,data.WCH,0.00355
2001,data.Kilograms_per_constant_2010_USD,data.WOD,0.01074
2002,data.Kilograms_per_constant_2010_USD,data.BIM,0.09404
2002,data.Kilograms_per_constant_2010_USD,data.COL,0.09446
2002,data.Kilograms_per_constant_2010_USD,data.CPR,0.00862
2002,data.Kilograms_per_constant_2010_USD,data.CRO,0.05732
2002,data.Kilograms_per_constant_2010_USD,data.FEO,0.0641
2002,data.Kilograms_per_constant_2010_USD,data.FOF,0.2467
2002,data.Kilograms_per_constant_2010_USD,data.GAS,0.02237
2002,data.Kilograms_per_constant_2010_USD,data.GBO,0.01626
2002,data.Kilograms_per_constant_2010_USD,data.MEO,0.07262
2002,data.Kilograms_per_constant_2010_USD,data.NFO,0.0641
2002,data.Kilograms_per_constant_2010_USD,data.NMA,0.01591
2002,data.Kilograms_per_constant_2010_USD,data.NMC,0.56311
2002,data.Kilograms_per_constant_2010_USD,data.NMM,0.57456
2002,data.Kilograms_per_constant_2010_USD,data.PET,0.12987
2002,data.Kilograms_per_constant_2010_USD,data.RAW,0.98792
2002,data.Kilograms_per_constant_2010_USD,data.WCH,0.00309
2002,data.Kilograms_per_constant_2010_USD,data.WOD,0.01031
2003,data.Kilograms_per_constant_2010_USD,data.BIM,0.08622
2003,data.Kilograms_per_constant_2010_USD,data.COL,0.09398
2003,data.Kilograms_per_constant_2010_USD,data.CPR,0.00743
2003,data.Kilograms_per_constant_2010_USD,data.CRO,0.05416
2003,data.Kilograms_per_constant_2010_USD,data.FEO,0.06077
2003,data.Kilograms_per_constant_2010_USD,data.FOF,0.24602
2003,data.Kilograms_per_constant_2010_USD,data.GAS,0.02369
2003,data.Kilograms_per_constant_2010_USD,data.GBO,0.01436
2003,data.Kilograms_per_constant_2010_USD,data.MEO,0.06929
2003,data.Kilograms_per_constant_2010_USD,data.NFO,0.06077
2003,data.Kilograms_per_constant_2010_USD,data.NMA,0.01451
2003,data.Kilograms_per_constant_2010_USD,data.NMC,0.60097
2003,data.Kilograms_per_constant_2010_USD,data.NMM,0.61159
2003,data.Kilograms_per_constant_2010_USD,data.PET,0.12835
2003,data.Kilograms_per_constant_2010_USD,data.RAW,1.01311
2003,data.Kilograms_per_constant_2010_USD,data.WCH,0.00303
2003,data.Kilograms_per_constant_2010_USD,data.WOD,0.00867
2004,data.Kilograms_per_constant_2010_USD,data.BIM,0.08521
2004,data.Kilograms_per_constant_2010_USD,data.COL,0.09623
2004,data.Kilograms_per_constant_2010_USD,data.CPR,0.00805
2004,data.Kilograms_per_constant_2010_USD,data.CRO,0.05028
2004,data.Kilograms_per_constant_2010_USD,data.FEO,0.06151
2004,data.Kilograms_per_constant_2010_USD,data.FOF,0.2435
2004,data.Kilograms_per_constant_2010_USD,data.GAS,0.02574
2004,data.Kilograms_per_constant_2010_USD,data.GBO,0.0135
2004,data.Kilograms_per_constant_2010_USD,data.MEO,0.06978
2004,data.Kilograms_per_constant_2010_USD,data.NFO,0.06151
2004,data.Kilograms_per_constant_2010_USD,data.NMA,0.01364
2004,data.Kilograms_per_constant_2010_USD,data.NMC,0.54709
2004,data.Kilograms_per_constant_2010_USD,data.NMM,0.55583
2004,data.Kilograms_per_constant_2010_USD,data.PET,0.12153
2004,data.Kilograms_per_constant_2010_USD,data.RAW,0.95432
2004,data.Kilograms_per_constant_2010_USD,data.WCH,0.00288
2004,data.Kilograms_per_constant_2010_USD,data.WOD,0.00883
2005,data.Kilograms_per_constant_2010_USD,data.BIM,0.08154
2005,data.Kilograms_per_constant_2010_USD,data.COL,0.08934
2005,data.Kilograms_per_constant_2010_USD,data.CPR,0.00765
2005,data.Kilograms_per_constant_2010_USD,data.CRO,0.04999
2005,data.Kilograms_per_constant_2010_USD,data.FEO,0.05648
2005,data.Kilograms_per_constant_2010_USD,data.FOF,0.22657
